geoid,geoid2,geodisplay,naicsid,establishment_type,op_type,tax_type,year,est_count,receipts,op_exp,payroll,q1payroll,employees,receipts_from_admin,receipts_from_estimate
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Type of operation or tax status code,Meaning of Type of operation or tax status code,Year,Number of establishments,"Receipts/Revenue ($1,000)","Operating expenses ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of paid employees for pay period including March 12,Percent of receipts/revenue from administrative records (%),Percent of receipts/revenue estimated (%)
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116101,Dance schools (including children's and professionals'),Y,Establishments exempt from federal income tax,2012,8,D,D,D,D,c,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116102,"Art, drama, and music schools",A,All establishments,2012,21,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116102,"Art, drama, and music schools",T,Establishments subject to federal income tax,2012,10,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",6116102,"Art, drama, and music schools",Y,Establishments exempt from federal income tax,2012,11,D,D,D,D,b,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61162,Sports and recreation instruction,A,All establishments,2012,57,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61162,Sports and recreation instruction,T,Establishments subject to federal income tax,2012,48,7895,N,2794,684,262,54.9,8.3
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61162,Sports and recreation instruction,Y,Establishments exempt from federal income tax,2012,9,D,D,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611620,Sports and recreation instruction,A,All establishments,2012,57,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611620,Sports and recreation instruction,T,Establishments subject to federal income tax,2012,48,7895,N,2794,684,262,54.9,8.3
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611620,Sports and recreation instruction,Y,Establishments exempt from federal income tax,2012,9,D,D,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61163,Language schools,A,All establishments,2012,5,346,N,188,47,18,6.1,26.3
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61163,Language schools,T,Establishments subject to federal income tax,2012,2,D,N,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61163,Language schools,Y,Establishments exempt from federal income tax,2012,3,D,D,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611630,Language schools,A,All establishments,2012,5,346,N,188,47,18,6.1,26.3
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611630,Language schools,T,Establishments subject to federal income tax,2012,2,D,N,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",611630,Language schools,Y,Establishments exempt from federal income tax,2012,3,D,D,D,D,a,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61169,All other schools and instruction,A,All establishments,2012,71,D,N,D,D,e,D,D
330M200US106,106,"Albuquerque-Santa Fe-Las Vegas, NM CSA",61169,All other schools and instruction,T,Establishments subject to federal income tax,2012,48,D,N,D,D,e,D,D
