GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Country,Geographic region,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0100000US,,United States,330M200US365,365,"United States - McAllen-Edinburg, TX CSA","McAllen-Edinburg, TX CSA",835737,835742,840315,857035,869799,881682,894710,906099
0100000US,,United States,330M200US366,366,"United States - Medford-Grants Pass, OR CSA","Medford-Grants Pass, OR CSA",285919,285919,286281,287402,289127,291261,293757,297312
0100000US,,United States,330M200US368,368,"United States - Memphis-Forrest City, TN-MS-AR CSA","Memphis-Forrest City, TN-MS-AR CSA",1353087,1353087,1354592,1360534,1368420,1368848,1369891,1370716
0100000US,,United States,330M200US370,370,"United States - Miami-Fort Lauderdale-Port St. Lucie, FL CSA","Miami-Fort Lauderdale-Port St. Lucie, FL CSA",6166766,6168430,6189108,6312973,6400408,6480137,6565481,6654565
0100000US,,United States,330M200US372,372,"United States - Midland-Odessa, TX CSA","Midland-Odessa, TX CSA",278801,278807,278884,284777,296730,306992,315839,326154
0100000US,,United States,330M200US376,376,"United States - Milwaukee-Racine-Waukesha, WI CSA","Milwaukee-Racine-Waukesha, WI CSA",2025989,2026052,2026692,2031831,2038122,2041978,2045542,2046692
0100000US,,United States,330M200US378,378,"United States - Minneapolis-St. Paul, MN-WI CSA","Minneapolis-St. Paul, MN-WI CSA",3684928,3684928,3691806,3726947,3760789,3799410,3835644,3866768
0100000US,,United States,330M200US380,380,"United States - Mobile-Daphne-Fairhope, AL CSA","Mobile-Daphne-Fairhope, AL CSA",595257,595408,596525,599721,604146,609247,614639,619104
0100000US,,United States,330M200US382,382,"United States - Modesto-Merced, CA CSA","Modesto-Merced, CA CSA",770246,770249,772166,778066,783885,789431,798038,806843
0100000US,,United States,330M200US384,384,"United States - Monroe-Ruston-Bastrop, LA CSA","Monroe-Ruston-Bastrop, LA CSA",251155,251216,251556,251939,252321,252852,252795,253407
0100000US,,United States,330M200US390,390,"United States - Morgantown-Fairmont, WV CSA","Morgantown-Fairmont, WV CSA",186127,186127,186851,188930,191210,192404,193694,195101
0100000US,,United States,330M200US393,393,"United States - Moses Lake-Othello, WA CSA","Moses Lake-Othello, WA CSA",107848,107848,108437,109639,110551,111020,112032,112513
0100000US,,United States,330M200US394,394,"United States - Mount Pleasant-Alma, MI CSA","Mount Pleasant-Alma, MI CSA",112787,112787,112737,112807,112666,112575,112453,112238
0100000US,,United States,330M200US396,396,"United States - Myrtle Beach-Conway, SC-NC CSA","Myrtle Beach-Conway, SC-NC CSA",436880,436880,438832,445846,454240,464885,477904,493262
0100000US,,United States,330M200US400,400,"United States - Nashville-Davidson--Murfreesboro, TN CSA","Nashville-Davidson--Murfreesboro, TN CSA",1788434,1788440,1793766,1816731,1845894,1877863,1913962,1951644
0100000US,,United States,330M200US404,404,"United States - New Bern-Morehead City, NC CSA","New Bern-Morehead City, NC CSA",193271,193271,193817,195617,196366,195962,196063,195124
0100000US,,United States,330M200US406,406,"United States - New Orleans-Metairie-Hammond, LA-MS CSA","New Orleans-Metairie-Hammond, LA-MS CSA",1413965,1413882,1419927,1439317,1453455,1468202,1480495,1493205
0100000US,,United States,330M200US408,408,"United States - New York-Newark, NY-NJ-CT-PA CSA","New York-Newark, NY-NJ-CT-PA CSA",23076664,23076822,23116508,23284011,23405103,23531175,23636444,23723696
0100000US,,United States,330M200US412,412,"United States - North Port-Sarasota, FL CSA","North Port-Sarasota, FL CSA",897121,897121,898234,903117,917621,931918,952389,977491
0100000US,,United States,330M200US416,416,"United States - Oklahoma City-Shawnee, OK CSA","Oklahoma City-Shawnee, OK CSA",1322429,1322434,1327604,1346955,1368803,1392211,1409421,1430327
0100000US,,United States,330M200US420,420,"United States - Omaha-Council Bluffs-Fremont, NE-IA CSA","Omaha-Council Bluffs-Fremont, NE-IA CSA",902041,902041,904831,913970,922618,932629,941992,952018
0100000US,,United States,330M200US422,422,"United States - Orlando-Deltona-Daytona Beach, FL CSA","Orlando-Deltona-Daytona Beach, FL CSA",2818120,2818118,2824532,2866631,2925085,2982050,3051019,3129308
0100000US,,United States,330M200US424,424,"United States - Paducah-Mayfield, KY-IL CSA","Paducah-Mayfield, KY-IL CSA",135883,135881,135955,136404,136036,135308,135398,134733
0100000US,,United States,330M200US425,425,"United States - Parkersburg-Marietta-Vienna, WV-OH CSA","Parkersburg-Marietta-Vienna, WV-OH CSA",154451,154451,154469,154189,153909,153764,153450,153444
0100000US,,United States,330M200US426,426,"United States - Peoria-Canton, IL CSA","Peoria-Canton, IL CSA",416255,416255,416000,416633,417029,418217,415749,413717
0100000US,,United States,330M200US428,428,"United States - Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA","Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",7067807,7068012,7075616,7104304,7132363,7148900,7167810,7183479
0100000US,,United States,330M200US430,430,"United States - Pittsburgh-New Castle-Weirton, PA-OH-WV CSA","Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",2660727,2660771,2661091,2662392,2662271,2660835,2655410,2648605
0100000US,,United States,330M200US438,438,"United States - Portland-Lewiston-South Portland, ME CSA","Portland-Lewiston-South Portland, ME CSA",621800,621802,621598,623490,625807,627655,630954,633528
0100000US,,United States,330M200US440,440,"United States - Portland-Vancouver-Salem, OR-WA CSA","Portland-Vancouver-Salem, OR-WA CSA",2921408,2921412,2928853,2960844,2991721,3019451,3060325,3110906
0100000US,,United States,330M200US444,444,"United States - Pueblo-Cañon City, CO CSA","Pueblo-Cañon City, CO CSA",205887,205887,206377,207607,207927,207681,208140,210283
0100000US,,United States,330M200US446,446,"United States - Pullman-Moscow, WA-ID CSA","Pullman-Moscow, WA-ID CSA",82020,82020,82075,82970,84818,85116,85523,86955
0100000US,,United States,330M200US448,448,"United States - Quincy-Hannibal, IL-MO CSA","Quincy-Hannibal, IL-MO CSA",116262,116262,116330,116540,116387,116159,116299,116296
0100000US,,United States,330M200US450,450,"United States - Raleigh-Durham-Chapel Hill, NC CSA","Raleigh-Durham-Chapel Hill, NC CSA",1912729,1912617,1922137,1959900,1998632,2036429,2075649,2117103
0100000US,,United States,330M200US452,452,"United States - Rapid City-Spearfish, SD CSA","Rapid City-Spearfish, SD CSA",158695,158706,159261,160704,163201,166318,168342,168961
0100000US,,United States,330M200US454,454,"United States - Redding-Red Bluff, CA CSA","Redding-Red Bluff, CA CSA",240686,240684,240910,241254,241643,242025,242708,242841
0100000US,,United States,330M200US456,456,"United States - Reno-Carson City-Fernley, NV CSA","Reno-Carson City-Fernley, NV CSA",579668,579688,580256,582210,585786,590200,597827,605706
0100000US,,United States,330M200US458,458,"United States - Richmond-Connersville, IN CSA","Richmond-Connersville, IN CSA",93194,93305,93233,92911,92244,91692,90913,90435
0100000US,,United States,330M200US462,462,"United States - Rochester-Austin, MN CSA","Rochester-Austin, MN CSA",246040,246040,246364,247789,248892,250828,251890,252989
0100000US,,United States,330M200US464,464,"United States - Rochester-Batavia-Seneca Falls, NY CSA","Rochester-Batavia-Seneca Falls, NY CSA",1175001,1174972,1175559,1177984,1178438,1178977,1177667,1175724
0100000US,,United States,330M200US466,466,"United States - Rockford-Freeport-Rochelle, IL CSA","Rockford-Freeport-Rochelle, IL CSA",450639,450639,450320,448378,445568,443800,440742,438071
0100000US,,United States,330M200US468,468,"United States - Rocky Mount-Wilson-Roanoke Rapids, NC CSA","Rocky Mount-Wilson-Roanoke Rapids, NC CSA",310416,310413,310221,309445,307979,305788,304127,302665
0100000US,,United States,330M200US470,470,"United States - Rome-Summerville, GA CSA","Rome-Summerville, GA CSA",122332,122332,122373,121886,121673,121112,120953,121426
